"","M_i","rho_c_i","u22_i","rho_r_i","n_i","dist_i"
"1",1,1,1,1,1,1
"2",1,1,1,1,1,2
"3",1,1,1,1,2,1
"4",1,1,1,1,2,2
"5",1,1,1,1,3,1
"6",1,1,1,1,3,2
"7",1,1,1,2,1,1
"8",1,1,1,2,1,2
"9",1,1,1,2,2,1
"10",1,1,1,2,2,2
"11",1,1,1,2,3,1
"12",1,1,1,2,3,2
"13",1,1,1,3,1,1
"14",1,1,1,3,1,2
"15",1,1,1,3,2,1
"16",1,1,1,3,2,2
"17",1,1,1,3,3,1
"18",1,1,1,3,3,2
"19",1,2,1,1,1,1
"20",1,2,1,1,1,2
"21",1,2,1,1,2,1
"22",1,2,1,1,2,2
"23",1,2,1,1,3,1
"24",1,2,1,1,3,2
"25",1,2,1,2,1,1
"26",1,2,1,2,1,2
"27",1,2,1,2,2,1
"28",1,2,1,2,2,2
"29",1,2,1,2,3,1
"30",1,2,1,2,3,2
"31",1,2,1,3,1,1
"32",1,2,1,3,1,2
"33",1,2,1,3,2,1
"34",1,2,1,3,2,2
"35",1,2,1,3,3,1
"36",1,2,1,3,3,2
"37",2,1,1,1,1,1
"38",2,1,1,1,1,2
"39",2,1,1,1,2,1
"40",2,1,1,1,2,2
"41",2,1,1,1,3,1
"42",2,1,1,1,3,2
"43",2,1,1,2,1,1
"44",2,1,1,2,1,2
"45",2,1,1,2,2,1
"46",2,1,1,2,2,2
"47",2,1,1,2,3,1
"48",2,1,1,2,3,2
"49",2,1,1,3,1,1
"50",2,1,1,3,1,2
"51",2,1,1,3,2,1
"52",2,1,1,3,2,2
"53",2,1,1,3,3,1
"54",2,1,1,3,3,2
"55",2,2,1,1,1,1
"56",2,2,1,1,1,2
"57",2,2,1,1,2,1
"58",2,2,1,1,2,2
"59",2,2,1,1,3,1
"60",2,2,1,1,3,2
"61",2,2,1,2,1,1
"62",2,2,1,2,1,2
"63",2,2,1,2,2,1
"64",2,2,1,2,2,2
"65",2,2,1,2,3,1
"66",2,2,1,2,3,2
"67",2,2,1,3,1,1
"68",2,2,1,3,1,2
"69",2,2,1,3,2,1
"70",2,2,1,3,2,2
"71",2,2,1,3,3,1
"72",2,2,1,3,3,2
